Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.4852E-05,3.6963E-05,0.071725,0,0,0,1.5342,0.0022302,2.943E-07,2.745E-06,0.002233,2.1247E-06,0.0019111,0,0,0,0,0,0,package://armv7/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://armv7/meshes/base_link.STL,,复件 base_link^GWJXB.00 国网机械臂总装-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0043321,4.5056E-05,0.19994,0,0,0,1.2668,0.001245,-2.151E-06,2.7137E-06,0.0013052,2.9012E-07,0.0012486,0,0,0,0,0,0,package://armv7/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://armv7/meshes/link1.STL,,复件 link_1^GWJXB.00 国网机械臂总装-1,坐标系1,基准轴1,joint1,revolute,0,0,0,0,0,0,base_link,0,0,1,38,4.1887,-3.14,3.14,,,,,,,,
link2,-1.46179257605251E-05,-0.101895250185516,0.000108730360751453,0,0,0,1.40049945991682,0.00277857033219757,6.65339079336443E-07,-1.23807735976067E-06,0.000938931685575044,-6.05226831848143E-06,0.00302956290007066,0,0,0,0,0,0,package://armv7/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv7/meshes/link2.STL,,link_2-1,坐标系2,基准轴2,joint2,revolute,0,0,0.209,-1.5708,0,1.5708,link1,0,0,1,38,4.1887,-3.14,3.14,,,,,,,,
link3,-0.00404915390467001,-0.00148725683866971,0.0856399032270122,0,0,0,1.22697872286913,0.00124805893195714,-1.72578423777798E-06,-1.09317211582289E-05,0.00122919016275901,8.10662836218173E-07,0.000976388274733609,0,0,0,0,0,0,package://armv7/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv7/meshes/link3.STL,,link_3^GWJXB.00 国网机械臂总装-1,坐标系3,基准轴3,join3,revolute,0,-0.17201,0,1.5708,1.5708,0,link2,0,0,1,14,3.1415,-3.14,3.14,,,,,,,,
link4,3.72209589210349E-05,-0.10041718030709,-0.0280249605161877,0,0,0,0.968850385291902,0.00122274622479383,-8.75694720990148E-07,-4.92293809920124E-08,0.000644077465205461,-0.00026305767194024,0.00111589881926999,0,0,0,0,0,0,package://armv7/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv7/meshes/link4.STL,,link_4^GWJXB.00 国网机械臂总装-1,坐标系4,基准轴4,join4,revolute,-0.0506339927297103,-0.0015294523067844,0.0992348804179653,-1.57079632679461,0,1.57079632679492,link3,0,0,1,14,3.1415,-3.14,3.14,,,,,,,,
link5,0.00355403882713478,4.77844812177019E-05,0.0498371661924434,0,0,0,0.523463515154146,0.000259383969252199,6.0295841923504E-07,-1.41231214293632E-06,0.000290213447654579,-2.67851447504871E-07,0.000300911359305597,0,0,0,0,0,0,package://armv7/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv7/meshes/link5.STL,,复件 link_5^GWJXB.00 国网机械臂总装-1,坐标系5,基准轴5,joint5,revolute,0,-0.185,-0.044971,1.5708,1.5708,0,link4,0,0,1,6.8,3.1415,-3.14,3.14,,,,,,,,
link6,-2.20201392121615E-06,0.0708588893529285,-0.0361866271730837,0,0,0,0.593580130238006,0.000585694786802645,1.11127671378374E-08,-4.63214090021767E-08,0.000223846386471812,-1.81235631953882E-06,0.00063468658285997,0,0,0,0,0,0,package://armv7/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armv7/meshes/link6.STL,,复件 link_6^GWJXB.00 国网机械臂总装-1,坐标系6,基准轴6,joint6,revolute,0.036,0,0.059,1.5708,0,1.5708,link5,0,0,1,6.8,3.1415,-3.14,3.14,,,,,,,,
link7,6.207707958783E-15,-8.50044724279991E-11,-0.0527293345834396,0,0,0,0.00755513616120157,2.95514573258449E-06,2.75535627085956E-15,-8.5765669214282E-19,3.07468678950722E-06,1.36337449751387E-14,1.09669976010484E-06,0,0,0,0,0,0,package://armv7/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://armv7/meshes/link7.STL,,夹爪-1,坐标系7,基准轴7,joint7,revolute,0,0.188,-0.036001,-1.5708,-1.5708,0,link6,0,0,1,6.8,3.1415,-3.14,3.14,,,,,,,,
